Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=1250, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1250, random_state=1,
                       warm_start=True))])",0.862689829,0.857868962,0,1250,cyclic,CYCLE1,,,,,,,12:28.1
"Lasso(alpha=0.0, max_iter=1250, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1250, random_state=1,
                       selection='random', warm_start=True))])",0.864282925,0.859132149,0,1250,random,CYCLE1,,,,,,,12:28.2
"Lasso(alpha=0.0, max_iter=1300, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1300, random_state=1,
                       warm_start=True))])",0.862710238,0.857834322,0,1300,cyclic,CYCLE1,,,,,,,12:28.3
"Lasso(alpha=0.0, max_iter=1300, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1300, random_state=1,
                       selection='random', warm_start=True))])",0.864325,0.859130362,0,1300,random,CYCLE1,,,,,,,12:28.4
"Lasso(alpha=0.0, max_iter=1350, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1350, random_state=1,
                       warm_start=True))])",0.862729725,0.857799729,0,1350,cyclic,CYCLE1,,,,,,,12:28.5
"Lasso(alpha=0.0, max_iter=1350, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1350, random_state=1,
                       selection='random', warm_start=True))])",0.864371415,0.859196663,0,1350,random,CYCLE1,,,,,,,12:28.6
"Lasso(alpha=0.0, max_iter=1400, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1400, random_state=1,
                       warm_start=True))])",0.862748473,0.857765396,0,1400,cyclic,CYCLE1,,,,,,,12:28.7
"Lasso(alpha=0.0, max_iter=1400, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1400, random_state=1,
                       selection='random', warm_start=True))])",0.86441504,0.859183618,0,1400,random,CYCLE1,,,,,,,12:28.8
"Lasso(alpha=0.0, max_iter=1450, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1450, random_state=1,
                       warm_start=True))])",0.862766635,0.857731506,0,1450,cyclic,CYCLE1,,,,,,,12:28.9
"Lasso(alpha=0.0, max_iter=1450, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1450, random_state=1,
                       selection='random', warm_start=True))])",0.864452178,0.859188637,0,1450,random,CYCLE1,,,,,,,12:29.0
"Lasso(alpha=0.0, max_iter=1500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1500, random_state=1,
                       warm_start=True))])",0.862784333,0.857698213,0,1500,cyclic,CYCLE1,,,,,,,12:29.1
"Lasso(alpha=0.0, max_iter=1500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1500, random_state=1,
                       selection='random', warm_start=True))])",0.864488819,0.859179935,0,1500,random,CYCLE1,,,,,,,12:29.3
"Lasso(alpha=0.0, max_iter=1550, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1550, random_state=1,
                       warm_start=True))])",0.862801667,0.857665651,0,1550,cyclic,CYCLE1,,,,,,,12:29.4
"Lasso(alpha=0.0, max_iter=1550, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1550, random_state=1,
                       selection='random', warm_start=True))])",0.864522143,0.859199399,0,1550,random,CYCLE1,,,,,,,12:29.5
"Lasso(alpha=0.0, max_iter=1600, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1600, random_state=1,
                       warm_start=True))])",0.862818718,0.857633929,0,1600,cyclic,CYCLE1,,,,,,,12:29.6
"Lasso(alpha=0.0, max_iter=1600, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1600, random_state=1,
                       selection='random', warm_start=True))])",0.864558274,0.859114546,0,1600,random,CYCLE1,,,,,,,12:29.8
"Lasso(alpha=0.0, max_iter=1650, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1650, random_state=1,
                       warm_start=True))])",0.862835552,0.857603138,0,1650,cyclic,CYCLE1,,,,,,,12:29.9
"Lasso(alpha=0.0, max_iter=1650, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1650, random_state=1,
                       selection='random', warm_start=True))])",0.864592578,0.859159594,0,1650,random,CYCLE1,,,,,,,12:30.0
"Lasso(alpha=0.0, max_iter=1700, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1700, random_state=1,
                       warm_start=True))])",0.862852221,0.857573353,0,1700,cyclic,CYCLE1,,,,,,,12:30.2
"Lasso(alpha=0.0, max_iter=1700, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1700, random_state=1,
                       selection='random', warm_start=True))])",0.86462367,0.859165314,0,1700,random,CYCLE1,,,,,,,12:30.3
"Lasso(alpha=0.0, max_iter=1750, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1750, random_state=1,
                       warm_start=True))])",0.862868768,0.85754463,0,1750,cyclic,CYCLE1,,,,,,,12:30.4
